row_idx,OBP,Ki_pred_uM,Ki_lower_uM,T_max,sigma_log,n_donors,decision,c1
127,OcorOBP1,3.331666249791537,3.0000000000000013,0.3333333432674408,0.04554023467366619,2,exploratory,0.318
130,OcorOBP1,3.2558534743760474,2.939242066907694,0.4375,0.044429497076511684,2,exploratory,0.418
131,OcorOBP1,3.255853484752312,2.939242074167303,0.5,0.044429497387929444,2,confident,0.478
134,OcorOBP1,4.671332145676345,2.8354466787207446,0.6111111044883728,0.21681926333807625,3,confident,0.479
135,OcorOBP1,2.6457513110645907,2.0000000000000004,0.31707316637039185,0.12151902434314721,2,exploratory,0.279
136,OcorOBP1,3.9933562633613673,2.2027774645835914,0.36666667461395264,0.2583674322772018,3,exploratory,0.272
137,OcorOBP1,2.697689738878855,2.119501477200665,0.34210526943206787,0.10475827643908338,3,exploratory,0.306
138,OcorOBP1,3.521574921403953,2.130362610414983,0.35483869910240173,0.21828340115036818,4,exploratory,0.277
139,OcorOBP1,6.478845030866926,3.871758023801492,0.375,0.22358938501721679,3,exploratory,0.291
141,OcorOBP1,3.0000000000000013,3.0000000000000013,0.8421052694320679,0.0,1,confident,0.842
142,OcorOBP1,2.1980565240927823,1.7364879742635264,0.7857142686843872,0.10236707629639956,4,confident,0.705
145,OcorOBP1,3.3884525567604684,1.8904526948866993,0.40625,0.25343559485614325,3,exploratory,0.303
146,OcorOBP1,8.547100964279284,7.718997182675781,0.5135135054588318,0.04425795175807638,2,confident,0.491
149,OcorOBP1,3.326169400983445,2.995089302303029,0.380952388048172,0.045534588010009834,2,exploratory,0.364
150,OcorOBP1,3.255853484752312,2.939242074167303,0.5,0.044429497387929444,2,confident,0.478
151,OcorOBP1,3.255853484752312,2.939242074167303,0.5,0.044429497387929444,2,confident,0.478
152,OcorOBP1,3.326169400983445,2.995089302303029,0.380952388048172,0.045534588010009834,2,exploratory,0.364
153,OcorOBP1,3.255853484752312,2.939242074167303,0.5,0.044429497387929444,2,confident,0.478
156,OcorOBP1,3.521574921403953,2.130362610414983,0.35483869910240173,0.21828340115036818,4,exploratory,0.277
158,OcorOBP1,3.0000000000000013,3.0000000000000013,0.75,0.0,1,confident,0.75
160,OcorOBP1,8.000000000000004,8.000000000000004,0.4285714328289032,0.0,1,exploratory,0.429
165,OcorOBP1,10.0,10.0,0.31578946113586426,0.0,1,exploratory,0.316
170,OcorOBP1,3.255853484752312,2.939242074167303,0.5,0.044429497387929444,2,confident,0.478
171,OcorOBP1,3.326169400983445,2.995089302303029,0.380952388048172,0.045534588010009834,2,exploratory,0.364
173,OcorOBP1,3.0000000000000013,3.0000000000000013,0.3333333432674408,0.0,1,exploratory,0.333
175,OcorOBP1,3.4815222937476884,2.1411950463095906,0.4000000059604645,0.21111295053768644,4,exploratory,0.316
176,OcorOBP1,2.7456600297183518,2.3612300588315676,0.48275861144065857,0.06550845824500774,3,exploratory,0.451
177,OcorOBP1,3.4897320215730026,3.022767881094984,0.5882353186607361,0.062387279624666475,2,confident,0.552
178,OcorOBP1,2.3000000000000007,2.3000000000000007,0.7272727489471436,0.0,1,confident,0.727
179,OcorOBP1,2.627886697252785,2.181795763637083,0.6000000238418579,0.08079254229661706,5,confident,0.552
180,OcorOBP1,8.000000000000004,8.000000000000004,1.0,0.0,1,confident,1.0
181,OcorOBP1,8.000000000000004,8.000000000000004,0.5555555820465088,0.0,1,confident,0.556
183,OcorOBP1,4.997988274122382,3.0618802792226854,0.4166666567325592,0.21280702728339973,2,exploratory,0.328
185,OcorOBP1,1.8000000000000016,1.8000000000000016,0.3333333432674408,0.0,1,exploratory,0.333
187,OcorOBP1,3.2786609773575854,2.955915702729072,0.375,0.04500446711574808,2,exploratory,0.358
188,OcorOBP1,9.240309238695108,8.305026194213076,0.4848484992980957,0.04634549911747377,2,exploratory,0.462
190,OcorOBP1,3.0364345199689864,2.612450878239674,0.375,0.06531578691397243,3,exploratory,0.351
191,OcorOBP1,12.000000000000007,12.000000000000007,0.3142857253551483,0.0,1,exploratory,0.314
192,OcorOBP1,3.326169400983445,2.995089302303029,0.380952388048172,0.045534588010009834,2,exploratory,0.364
193,OcorOBP1,3.326169400983445,2.995089302303029,0.380952388048172,0.045534588010009834,2,exploratory,0.364
194,OcorOBP1,3.255853484752312,2.939242074167303,0.5,0.044429497387929444,2,confident,0.478
198,OcorOBP1,2.697689738878855,2.119501477200665,0.34210526943206787,0.10475827643908338,3,exploratory,0.306
199,OcorOBP1,2.4999999999999996,2.4999999999999996,1.0,0.0,3,confident,1.0
201,OcorOBP1,3.0000000000000013,3.0000000000000013,0.7096773982048035,0.0,1,confident,0.71
203,OcorOBP1,3.5735277680459987,3.1053131047140496,0.5882353186607361,0.0609917650566397,2,confident,0.552
204,OcorOBP1,3.6999999999999997,3.6999999999999997,0.38235294818878174,0.0,1,exploratory,0.382
205,OcorOBP1,8.565438256831904,7.728379063996711,0.5405405163764954,0.04466117351685196,2,confident,0.516
211,OcorOBP1,3.0000000000000013,3.0000000000000013,0.3529411852359772,0.0,1,exploratory,0.353
213,OcorOBP1,2.6457513110645907,2.0000000000000004,0.3513513505458832,0.12151902434314721,2,exploratory,0.309
214,OcorOBP1,8.000000000000004,8.000000000000004,0.37931033968925476,0.0,1,exploratory,0.379
215,OcorOBP1,3.5541450088648148,2.1203010449997195,0.3513513505458832,0.22433761562377155,4,exploratory,0.273
216,OcorOBP1,7.999999999999986,7.999999999999971,0.4722222089767456,8.881784197001252e-16,1,exploratory,0.472
217,OcorOBP1,4.155093968931459,2.6179745985392024,0.5909090638160706,0.20061542155603598,2,confident,0.472
218,OcorOBP1,3.0000000000000013,3.0000000000000013,0.52173912525177,0.0,1,confident,0.522
219,OcorOBP1,3.0000000000000013,3.0000000000000013,0.5652173757553101,0.0,1,confident,0.565
221,OcorOBP1,3.0000000000000013,3.0000000000000013,0.4285714328289032,0.0,1,exploratory,0.429
222,OcorOBP1,2.380081204504545,2.1168993143523003,0.5714285969734192,0.05089157248024873,4,confident,0.542
223,OcorOBP1,2.1980565240927823,1.7364879742635264,0.7857142686843872,0.10236707629639956,4,confident,0.705
227,OcorOBP1,5.011018408168921,3.070210506970954,0.32499998807907104,0.21275784452835753,2,exploratory,0.256
228,OcorOBP1,3.3884525567604684,1.8904526948866993,0.40625,0.25343559485614325,3,exploratory,0.303
229,OcorOBP1,4.987098621368523,3.0549517852099237,0.3333333432674408,0.21284359622862498,2,exploratory,0.262
230,OcorOBP1,8.000000000000004,8.000000000000004,0.3333333432674408,0.0,1,exploratory,0.333
231,OcorOBP1,9.228102193370404,8.29078377980767,0.5,0.046516806243867,2,confident,0.477
233,OcorOBP1,3.0000000000000013,3.0000000000000013,1.0,0.0,1,confident,1.0
234,OcorOBP1,3.0000000000000013,3.0000000000000013,1.0,0.0,1,confident,1.0
237,OcorOBP1,3.0000000000000013,3.0000000000000013,0.30434781312942505,0.0,1,exploratory,0.304
238,OcorOBP1,3.0364345199689864,2.612450878239674,0.375,0.06531578691397243,3,exploratory,0.351
240,OcorOBP1,2.0000000000000004,2.0000000000000004,0.48275861144065857,0.0,1,exploratory,0.483
243,OcorOBP1,3.255853484752312,2.939242074167303,0.5,0.044429497387929444,2,confident,0.478
244,OcorOBP1,8.000000000000004,8.000000000000004,0.30000001192092896,0.0,1,exploratory,0.3
247,OcorOBP1,3.255853484752312,2.939242074167303,0.5,0.044429497387929444,2,confident,0.478
249,OcorOBP1,2.6457513110645907,2.0000000000000004,0.3513513505458832,0.12151902434314721,2,exploratory,0.309
250,OcorOBP1,2.0000000000000004,2.0000000000000004,0.32499998807907104,0.0,1,exploratory,0.325
251,OcorOBP1,12.000000000000007,12.000000000000007,0.4482758641242981,0.0,1,exploratory,0.448
252,OcorOBP1,2.3000000000000007,2.3000000000000007,0.5,0.0,1,confident,0.5
255,OcorOBP1,3.0000000000000013,3.0000000000000013,0.4285714328289032,0.0,1,exploratory,0.429
257,OcorOBP1,8.000000000000004,8.000000000000004,0.3478260934352875,0.0,1,exploratory,0.348
259,OcorOBP1,2.5810403733667124,2.0874518181955994,0.4838709533214569,0.0921783379107626,4,exploratory,0.439
260,OcorOBP1,3.3361492923481686,2.9037042135788345,0.5555555820465088,0.060293102250046006,2,confident,0.522
262,OcorOBP1,5.6189591230558555,2.7922728263743535,0.34210526943206787,0.30369802277898006,3,exploratory,0.238
264,OcorOBP1,8.93732044499427,7.993804076479756,0.3076923191547394,0.04845382996705448,2,exploratory,0.293
265,OcorOBP1,5.258864377418562,3.237012635055827,0.3589743673801422,0.2107475762039709,2,exploratory,0.283
266,OcorOBP1,4.7362487098042845,2.9037286804438502,0.3214285671710968,0.21247846580438678,2,exploratory,0.253
267,OcorOBP1,4.7362487098042845,2.9037286804438502,0.3214285671710968,0.21247846580438678,2,exploratory,0.253
268,OcorOBP1,3.0000000000000013,3.0000000000000013,0.3333333432674408,0.0,1,exploratory,0.333
269,OcorOBP1,3.5428066464308507,1.7904762345979093,0.4193548262119293,0.2963788898625465,2,exploratory,0.295
270,OcorOBP1,10.0,10.0,0.3076923191547394,0.0,1,exploratory,0.308
273,OcorOBP1,3.0364345199689864,2.612450878239674,0.375,0.06531578691397243,3,exploratory,0.351
283,OcorOBP1,3.334666310777367,3.002713005081744,0.3103448152542114,0.04553855703808751,2,exploratory,0.296
284,OcorOBP1,3.333222775364003,3.0014046962601717,0.3214285671710968,0.04553978288825858,2,exploratory,0.307
285,OcorOBP1,3.326169400983445,2.995089302303029,0.380952388048172,0.045534588010009834,2,exploratory,0.364
290,OcorOBP1,3.255853484752312,2.939242074167303,0.5,0.044429497387929444,2,confident,0.478
291,OcorOBP1,3.255853484752312,2.939242074167303,0.5,0.044429497387929444,2,confident,0.478
292,OcorOBP1,12.000000000000007,12.000000000000007,0.3913043439388275,0.0,1,exploratory,0.391
295,OcorOBP1,3.0364345199689864,2.612450878239674,0.375,0.06531578691397243,3,exploratory,0.351
299,OcorOBP1,8.000000000000004,8.000000000000004,0.36666667461395264,0.0,1,exploratory,0.367
300,OcorOBP1,2.0000000000000004,2.0000000000000004,0.32499998807907104,0.0,1,exploratory,0.325
301,OcorOBP1,3.5659458651937395,2.1229169270172417,0.3333333432674408,0.22524174595076618,4,exploratory,0.258
302,OcorOBP1,3.4815222937476884,2.1411950463095906,0.4000000059604645,0.21111295053768644,4,exploratory,0.316
303,OcorOBP1,5.120631327836849,3.1420127547354975,0.3863636255264282,0.2121155651953088,2,exploratory,0.304
305,OcorOBP1,8.660760437859345,7.783308681204481,0.3571428656578064,0.04639177126435568,3,exploratory,0.341
306,OcorOBP1,3.0000000000000013,3.0000000000000013,0.75,0.0,1,confident,0.75
307,OcorOBP1,3.0000000000000013,3.0000000000000013,0.5652173757553101,0.0,1,confident,0.565
310,OcorOBP1,8.000000000000004,8.000000000000004,0.3214285671710968,0.0,1,exploratory,0.321
312,OcorOBP1,1.8941250985128233,1.6817250755288249,1.0,0.051653659006418474,3,confident,0.948
314,OcorOBP1,5.691491635755257,3.5681354429244845,0.5714285969734192,0.20278477053538774,2,confident,0.456
315,OcorOBP1,4.9904522655375025,3.0570822958934145,0.3461538553237915,0.21283277586654384,2,exploratory,0.272
316,OcorOBP1,4.9904522655375025,3.0570822958934145,0.3461538553237915,0.21283277586654384,2,exploratory,0.272
317,OcorOBP1,3.0000000000000013,3.0000000000000013,0.5151515007019043,0.0,1,confident,0.515
319,OcorOBP1,2.575333879239437,2.0981702400376876,0.5517241358757019,0.08899281834477055,4,confident,0.503
320,OcorOBP1,3.2786609773575854,2.955915702729072,0.375,0.04500446711574808,2,exploratory,0.358
321,OcorOBP1,9.049642676849961,8.099237463334967,0.3611111044883728,0.0481872991930045,2,exploratory,0.344
